mu,sigma,final_mass,mean_mass,mass_std,mean_activity,classification,lyapunov,lyapunov_std,lyapunov_class,correlation_type,correlation_length,correlation_exponent,entropy,spatial_entropy,mutual_info,susceptibility
0.15285714285714286,0.028571428571428574,4111.493972454678,4120.961954428827,6.039644261885293,2.9148657253413934,stable,0.019578031315704948,0.00046388332396106723,chaotic,exponential,1.8988226671814767,0.5266421226603288,1.004235302618689,3.7521270706163743,0.027627814745137425,
0.16499999999999998,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.16499999999999998,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.16499999999999998,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.16499999999999998,0.01142857142857143,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.15285714285714286,0.03071428571428572,4153.221963017091,4157.624096780925,4.914516236007071,3.140619894099699,stable,0.02064521743033821,0.0010787779191250792,chaotic,exponential,1.9246512298100251,0.5195746556630451,1.002454348628694,3.743675730408175,0.027580151839222466,
0.16499999999999998,0.013571428571428571,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.16499999999999998,0.015714285714285715,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.15285714285714286,0.032857142857142856,4241.5634480048575,4267.196725651055,12.369346811687691,4.231048106672365,stable,0.01844087460862163,0.0007429825394623041,chaotic,exponential,2.085752686282952,0.47944322765423997,1.0522663993881913,3.7744228293986706,0.029306573155909454,
0.15285714285714286,0.035,4280.111492498019,4279.403553423293,2.4829301810777884,2.420127145293584,stable,0.02373162504027503,0.0011002228716471333,chaotic,exponential,2.1966836239385605,0.4552316906733444,0.9727146003147117,3.629764555906481,0.02841315040992831,
